RESPID_AP20,LANGUAGE_AP20,INTERVIEW_START_AP20,INTERVIEW_END_AP20,ECON1MOD_AP20,ECON1BMOD_AP20,TYPOLOGYb_AP20,COVIDWORK_a_AP20,COVIDWORK_b_AP20,COMATTACH_AP20,VET1_AP20,VOL12_CPS_AP20,HLTHRATE_AP20,DISA_AP20,ROBWRK_AP20,RESPFUT_AP20,EMINUSE_AP20,INTMOB_AP20,INTFREQ_AP20,HOMEINTSERV_AP20,SMUSE_a_AP20,SMUSE_b_AP20,SMUSE_c_AP20,SMUSE_d_AP20,SMUSE_e_AP20,SMUSE_f_AP20,SMUSE_g_AP20,SMUSE_h_AP20,BOOKS_AP20,RADIO_AP20,DEVICE1a_AP20,SMART2_AP20,RELIG_AP20,BORN_AP20,ATTEND_AP20,RELIMP_AP20,PRAY_AP20,REG_AP20,INSURANCE_AP20,SEXASK_AP20,MARITAL_AP20,PARTY_AP20,PARTYLN_AP20,HISP_AP20,RACEMOD_1_AP20,RACEMOD_2_AP20,RACEMOD_3_AP20,RACEMOD_4_AP20,RACEMOD_5_AP20,RACEMOD_6_AP20,RACECMB_AP20,AGE_AP20,EDUC_ACS_AP20,NUMADULTS_AP20,NATIVITY_AP20,INCOME_AP20,REGION_NAME,MSA,MODE,BASEWEIGHT,WEIGHT
1.0,English,2020-06-03,2020-06-03 10:58:13,Good,About the same,Business corporations make too much profit,"No, has not happened","No, has not happened",Somewhat attached,"No, nobody in household",No,Very good,No,Probably happen,The federal government,Yes,Yes,Several times a day,"A high-speed internet service such as cable, DSL, or fiber optic service","Yes, use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this",20.0,No,"Yes, have a cellphone","Yes, smartphone",Agnostic,,Never,Not at all important,Never,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Covered by health insurance,Female,Married,Democrat,,No,White,0.0,0.0,0.0,0.0,0.0,White,71.0,"Bachelor’s degree (for example: BA, BS)",2.0,U.S.,"$50,000 to less than $75,000",Northeast,Metropolitan Statistical Area,Online,2.1311079940977207,0.7496635465964346
2.0,English,2020-06-03,2020-06-03 13:59:15,Only fair,Worse,Business corporations make too much profit,"Yes, has happened","Yes, has happened",Very attached,"No, nobody in household",Yes,Excellent,No,Probably happen,The federal government,Yes,Yes,Almost constantly,"A high-speed internet service such as cable, DSL, or fiber optic service","Yes, use this","Yes, use this","Yes, use this","Yes, use this","Yes, use this","No, don’t use this","No, don’t use this","No, don’t use this",2.0,No,"Yes, have a cellphone","Yes, smartphone",Nothing in particular,,Seldom,Not too important,Seldom,"You are PROBABLY registered, but there is a chance your registration has lapsed",Not covered by health insurance,Female,Never been married,Something else,The Democratic Party,No,White,Black or African American,0.0,0.0,0.0,0.0,Mixed Race,23.0,GED or alternative credential,2.0,U.S.,"Less than $10,000",Northeast,Metropolitan Statistical Area,Online,2.1311079940977207,3.430204535582046
3.0,English,2020-06-03,2020-06-03 15:09:45,Poor,Worse,Business corporations make too much profit,"Yes, has happened","Yes, has happened",Not at all attached,"No, nobody in household",No,Good,No,Definitely happen,The federal government,Yes,Yes,Several times a day,"A high-speed internet service such as cable, DSL, or fiber optic service","Yes, use this","Yes, use this","Yes, use this","Yes, use this","Yes, use this","Yes, use this","Yes, use this","No, don’t use this",1.0,Yes,"Yes, have a cellphone","Yes, smartphone",Protestant,"Yes, born-again or evangelical Christian",Seldom,Very important,Once a day,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Not covered by health insurance,Male,Living with a partner,Democrat,,No,White,Black or African American,0.0,0.0,0.0,0.0,Mixed Race,37.0,"Bachelor’s degree (for example: BA, BS)",2.0,U.S.,"$20,000 to less than $30,000",Northeast,Metropolitan Statistical Area,Online,1.9701671652116497,0.8814874191334998
4.0,English,2020-06-03,2020-06-03 15:07:33,Only fair,Worse,Business corporations make too much profit,"No, has not happened","No, has not happened",Not at all attached,"No, nobody in household",No,Good,No,Probably happen,Individuals themselves,Yes,Yes,Almost constantly,"A high-speed internet service such as cable, DSL, or fiber optic service","No, don’t use this","Yes, use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this",7.0,Yes,"Yes, have a cellphone","Yes, smartphone",Roman Catholic,"No, not born-again or evangelical Christian",Seldom,Not too important,Seldom,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Covered by health insurance,Male,Widowed,Democrat,,No,White,0.0,0.0,0.0,0.0,0.0,White,70.0,"Master’s degree (for example: MA, MS, MEng, MEd, MSW, MBA)",1.0,U.S.,"$50,000 to less than $75,000",Northeast,Metropolitan Statistical Area,Online,1.0655539970488603,0.24915357204907937
5.0,English,2020-06-03,2020-06-03 15:41:05,Good,Better,Business corporations make too much profit,"Yes, has happened","Yes, has happened",Somewhat attached,"Yes, someone else in household",No,Good,No,Definitely happen,Schools,Yes,Yes,Several times a day,"A high-speed internet service such as cable, DSL, or fiber optic service","Yes, use this","Yes, use this","No, don’t use this","Yes, use this","Yes, use this","No, don’t use this","No, don’t use this","No, don’t use this",15.0,Yes,"Yes, have a cellphone","Yes, smartphone",Protestant,"No, not born-again or evangelical Christian",Once or twice a month,Somewhat important,Seldom,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Covered by health insurance,Male,Divorced,Republican,,No,White,0.0,0.0,0.0,0.0,0.0,White,39.0,"Some college credit, but less than 1 year of college credit",1.0,U.S.,"$40,000 to less than $50,000",South,Metropolitan Statistical Area,Online,1.0655539970488603,0.636452670509983
6.0,English,2020-06-03,2020-06-03 15:48:49,Good,Better,Business corporations make too much profit,"No, has not happened","No, has not happened",Somewhat attached,"No, nobody in household",No,Good,No,Probably not happen,Individuals themselves,Yes,Yes,Almost constantly,"A high-speed internet service such as cable, DSL, or fiber optic service","Yes, use this","Yes, use this","Yes, use this","Yes, use this","No, don’t use this","Yes, use this","Yes, use this","No, don’t use this",2.0,No,"Yes, have a cellphone","Yes, smartphone","Orthodox (such as Greek, Russian, or some other Orthodox church)","Yes, born-again or evangelical Christian",Seldom,Very important,Several times a day,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Covered by health insurance,Male,Married,Republican,,No,White,0.0,0.0,0.0,0.0,0.0,White,49.0,Regular high school diploma,3.0,Another country,"$100,000 to less than $150,000",Northeast,Metropolitan Statistical Area,Online,3.196661991146581,3.1396837409821106
7.0,English,2020-06-03,2020-06-03 16:04:11,Only fair,About the same,Business corporations make too much profit,"No, has not happened","No, has not happened",Not at all attached,"No, nobody in household",No,Good,No,Probably happen,Schools,Yes,Yes,Several times a day,"A high-speed internet service such as cable, DSL, or fiber optic service","Yes, use this","Yes, use this","No, don’t use this","Yes, use this","No, don’t use this","Yes, use this","No, don’t use this","No, don’t use this",12.0,Yes,"Yes, have a cellphone","Yes, smartphone",Protestant,"Yes, born-again or evangelical Christian",Once a week,Very important,Several times a day,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Covered by health insurance,Female,Divorced,Something else,Refused,No,White,0.0,0.0,0.0,0.0,0.0,White,67.0,GED or alternative credential,1.0,U.S.,"$100,000 to less than $150,000",Northeast,Metropolitan Statistical Area,Online,1.0655539970488603,0.7029970856322346
8.0,English,2020-06-03,2020-06-03 17:18:44,Only fair,About the same,Business corporations make too much profit,"No, has not happened","Yes, has happened",Somewhat attached,"No, nobody in household",No,Very good,No,Probably happen,The federal government,Yes,Yes,Several times a day,"A high-speed internet service such as cable, DSL, or fiber optic service","No, don’t use this","Yes, use this","Yes, use this","No, don’t use this","No, don’t use this","No, don’t use this","Yes, use this","No, don’t use this",2.0,Yes,"Yes, have a cellphone","Yes, smartphone",Agnostic,,Never,Not at all important,Never,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Covered by health insurance,Male,Married,Democrat,,No,White,0.0,0.0,0.0,0.0,0.0,White,,"Master’s degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Refused,U.S.,Refused,Northeast,Metropolitan Statistical Area,Online,1.0655539970488603,0.24915357204907937
9.0,English,2020-06-03,2020-06-03 19:06:18,Good,About the same,Most corporations make a fair and reasonable amount of profit,"No, has not happened","Yes, has happened",Not at all attached,"No, nobody in household",Yes,Excellent,No,Definitely happen,The federal government,Yes,Yes,Several times a day,"A high-speed internet service such as cable, DSL, or fiber optic service","Yes, use this","Yes, use this","Yes, use this","Yes, use this","Yes, use this","No, don’t use this","No, don’t use this","Yes, use this",6.0,No,"Yes, have a cellphone","Yes, smartphone",Roman Catholic,"No, not born-again or evangelical Christian",Once a week,Very important,Several times a day,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Covered by health insurance,Female,Married,Democrat,,No,0.0,Black or African American,0.0,0.0,0.0,0.0,Black or African-American,45.0,"Professional degree beyond a bachelor’s degree (for example: MD, DDS, DVM, LLB, JD)",2.0,Another country,"$100,000 to less than $150,000",Northeast,Metropolitan Statistical Area,Online,1.9701671652116497,0.687752801075786
10.0,English,2020-06-03,2020-06-03 22:37:48,Poor,Better,Most corporations make a fair and reasonable amount of profit,"Yes, has happened","No, has not happened",Somewhat attached,"No, nobody in household",No,Poor,No,Probably happen,Individuals themselves,Yes,Yes,Several times a day,"A high-speed internet service such as cable, DSL, or fiber optic service","No, don’t use this","Yes, use this","No, don’t use this","Yes, use this","No, don’t use this","Yes, use this","No, don’t use this","Yes, use this",1.0,Yes,"Yes, have a cellphone","Yes, smartphone",Protestant,"No, not born-again or evangelical Christian",Seldom,Somewhat important,A few times a month,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Covered by health insurance,Female,Living with a partner,Democrat,,No,0.0,Black or African American,0.0,0.0,0.0,0.0,Black or African-American,37.0,"1 or more years of college credit, no degree",2.0,U.S.,"$50,000 to less than $75,000",Northeast,Metropolitan Statistical Area,Online,2.1311079940977207,1.0626323120240744
